"RegionID","RegionName","SizeRank","1979-03","1979-06","1979-09","1979-12","1980-03","1980-06","1980-09","1980-12","1981-03","1981-06","1981-09","1981-12","1982-03","1982-06","1982-09","1982-12","1983-03","1983-06","1983-09","1983-12","1984-03","1984-06","1984-09","1984-12","1985-03","1985-06","1985-09","1985-12","1986-03","1986-06","1986-09","1986-12","1987-03","1987-06","1987-09","1987-12","1988-03","1988-06","1988-09","1988-12","1989-03","1989-06","1989-09","1989-12","1990-03","1990-06","1990-09","1990-12","1991-03","1991-06","1991-09","1991-12","1992-03","1992-06","1992-09","1992-12","1993-03","1993-06","1993-09","1993-12","1994-03","1994-06","1994-09","1994-12","1995-03","1995-06","1995-09","1995-12","1996-03","1996-06","1996-09","1996-12","1997-03","1997-06","1997-09","1997-12","1998-03","1998-06","1998-09","1998-12","1999-03","1999-06","1999-09","1999-12","2000-03","2000-06","2000-09","2000-12","2001-03","2001-06","2001-09","2001-12","2002-03","2002-06","2002-09","2002-12","2003-03","2003-06","2003-09","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12"
102001,"United States",0,47839.4374252587,49404.9394270265,50467.8053345812,51441.662767119,52357.9264805283,53169.4743409764,54703.5615868559,54844.9279883534,55143.3681692924,56237.6488327354,57190.563094681,57138.2051682005,58101.5910154422,58567.5765611189,58028.2899183695,58761.3008890969,59813.6952113555,60441.9903291218,60939.3906306868,61284.9529454583,62211.6882441637,63028.4718972599,63609.6448811938,64122.752560703,65028.5446888161,66018.1094992981,67049.5606509645,67787.8074143399,69096.7555763531,70536.5985545677,71604.7002547704,72709.4525035096,74149.2954817241,75295.9340716477,76149.3682732803,76636.2969895492,77835.2935059533,79385.088129777,80201.8717828732,80950.5901315448,81882.5612228981,83013.4924348776,84777.9545572714,85484.7865647585,85956.0079030832,86312.0418031508,86830.3852753081,86495.2945458327,87207.3623459679,87804.2427078459,87950.8449019914,89191.7277595799,89877.6165964748,89861.9092185307,90888.124577549,91343.6385379296,91380.289086466,92249.4306660427,92998.1490147143,93762.57474133,94359.455103208,94930.1565018458,95317.6051578017,95239.0682680809,95746.940154942,97307.2063640618,98804.6430614049,99579.5403733167,100700,100600,101000,101700,102700,103600,104900,106200,107700,109400,111200,112900,114300,116100,118300,120600,123000,124800,126200,127900,129900,131700,133300,135300,137500,139500,141500,144000,146300,148800,151600,154900,158800,163100,167900,172000,175700,180300,185300,189600,193300,196600,198700,199500,200100,2e+05,197600,194600,190400,185100,180000,175600,171600,166900,164000,163000,162800,161400,159400,156600,153500,151600,150000,149200,148800,149900,151400,153100,155200,158200,161200,163600,165800,167900,170000,171600,173800,176300,178600,181000,183700,187000,190300,193600,197400,201300,204700,208000,212900,216800,220000,223900
394913,"New York, NY",1,51602.3293556086,53147.8758949881,54425.3174224344,55403.1121718377,57642.5775656325,58699.2267303103,61191.0262529833,60859.8377088306,62925.8233890215,65102.2052505967,67862.1097852029,66726.6062052506,65906.5202863962,68902.9880668258,68934.5298329356,70968.9737470167,72987.646778043,75195.5704057279,78507.4558472554,81220.0477326969,84011.4940334129,88506.1957040573,92527.7708830549,95997.3651551313,100129.336515513,104608.267303103,109938.825775656,114875.112171838,120868.047732697,128248.821002387,135550.739856802,142568.782816229,150296.515513126,158465.832935561,163922.558472554,167770.653937947,170782.892601432,174615.217183771,173558.568019093,173085.441527446,172754.252983294,171650.291169451,171382.186157518,171145.622911695,168969.241050119,164821.498806683,162897.451073986,159522.482100239,158528.91646778,157314.558472554,156888.744630072,157472.267303103,158986.272076372,158465.832935561,159412.085918854,160437.193317422,160184.859188544,161020.715990453,161588.46778043,162408.553699284,162692.429594272,161698.863961814,160863.007159905,158260.811455847,157708.830548926,159995.608591885,162392.782816229,162692.429594272,165200,164600,163900,164000,165100,166000,167000,169000,171400,173200,175200,178200,182000,186600,191800,197700,204900,212600,220000,227000,233900,240900,248300,256400,264200,272400,282300,293500,306100,318400,329300,339600,350200,362200,376200,390100,402800,415400,427600,438700,446800,452200,452100,448800,446800,444000,438900,433500,426200,416600,404900,394500,384900,373700,369000,369200,369400,366400,362700,356300,349700,347500,344200,339400,336400,336500,335700,336500,339500,342700,347400,351300,353500,355800,358500,360900,362900,365100,369600,373100,376600,379600,383300,388000,393700,403800,410300,415600,423300,427700,431200,437300
753899,"Los Angeles-Long Beach-Anaheim, CA",2,72134.5161290323,75855.5425219941,79025.9237536657,82346.4809384164,85383.3724340176,89187.8299120235,92024.4868035191,93709.7947214076,95528.5923753666,97497.5659824047,100617.88856305,101435.513196481,100901.554252199,101151.847507331,99666.7741935484,101869.35483871,102787.096774194,103037.390029326,103137.507331378,103838.328445748,104872.873900293,105123.167155425,106458.064516129,106941.964809384,108477.096774194,109845.366568915,112198.123167155,113566.392961877,114701.055718475,116870.263929619,119623.48973607,122793.870967742,126648.387096774,130419.472140762,135742.375366569,140965.161290323,147105.68914956,154180.64516129,163691.788856305,174738.064516129,183615.131964809,193443.313782991,202604.046920821,207609.91202346,209395.337243402,209145.04398827,208911.436950147,206091.46627566,205424.017595308,203188.064516129,203037.88856305,204973.48973607,203755.395894428,201385.953079179,199950.938416422,197130.967741935,193126.275659824,190089.384164223,187119.237536657,184783.167155425,182363.66568915,175555.68914956,172235.131964809,168580.850439883,166862.170087977,168597.536656892,170649.941348974,171200.586510264,170700,170100,169300,169400,170300,170900,172900,177400,183300,187600,191300,196000,201600,206600,211700,217600,224100,230200,236100,242300,249100,255600,262400,270700,280600,292700,307600,323900,338900,355600,375600,398300,425600,458200,486200,505700,523600,543600,564900,584300,599800,609200,606200,598500,590800,578100,557900,535200,508500,477400,458000,444600,431400,415100,414900,419900,420700,421600,415400,407700,400800,394300,387500,382200,381600,389900,397500,409800,429200,454400,470400,478300,486900,496100,502900,509500,519200,528100,537100,547700,554700,561600,573600,585400,594300,603200,614400,626000,638700,643300,646800,650200
394463,"Chicago, IL",3,60886.2311940583,62314.3782136736,62406.0940773186,63231.5368501238,62759.8552656637,63624.6048371739,60991.0493239383,61659.2649019235,64279.718148924,67240.8303180347,67306.3416492097,66402.2852789945,64017.672824224,63965.263759284,62982.5937916587,64109.388687869,64908.6269282042,66978.7849933346,67817.3300323748,68852.40906494,68747.59093506,70529.4991430204,70948.7716625405,71669.3963054656,72285.2028185108,73385.793182251,74289.8495524662,75783.5079032565,76477.9280137117,78194.3248904971,80434.8124166825,82714.6067415731,84273.7764235384,87719.6724433441,90143.5916968197,91689.65911255,93982.5557036755,96930.5656065511,99406.8939249667,100389.563892592,102485.926490192,104582.289087793,107137.231003618,108421.253094649,109626.661588269,111198.933536469,112640.18282232,112745.0009522,114133.84117311,115247.533803085,116321.919634355,118025.214244906,119034.088745001,119794.020186631,121104.246810131,122100.019043992,123069.586745382,124065.358979242,125336.278804037,126292.744239193,127943.629784803,129542.106265473,130315.139973338,130171.015044753,131022.662350029,133132.127213864,134717.501428299,135975.31898686,137600,139300,138800,136100,133200,130100,127400,128400,132700,137100,141800,145200,146400,146700,148000,150800,155100,159500,163500,166800,169600,172000,175200,178500,181900,185000,187900,190500,193100,196200,200200,204900,209800,215200,220500,225600,230600,236200,241800,246600,249800,252100,253400,254000,254000,252500,249800,246600,241200,235200,227800,221300,214600,206200,200300,198200,197400,192500,187100,180900,176800,171300,167400,163300,159700,160800,161500,162400,163500,167500,172300,174400,176200,179800,182200,183700,185000,187900,189900,192800,194600,197100,199600,202800,205700,208500,211200,214500,219100,220700,221900,224200
394514,"Dallas-Fort Worth, TX",4,70546.9652215341,74311.9580752739,77506.1648404002,80360.0952834683,82994.4926155312,84136.0647927585,86660.6955693187,88307.193901858,90809.8713673178,91896.5602667937,94124.8213434969,95266.3935207242,97022.6584087661,96704.3353978085,97977.6274416389,100655.931395903,101435.273939971,102982.982372558,104190.414483087,105628.356360172,107395.597903764,108866.469747499,111303.287279657,111676.493568366,111994.816579323,114277.960933778,115595.159599809,115737.856121963,116868.45164364,119250.385898047,117834.397332063,117197.751310148,117461.191043354,114541.400666984,111939.933301572,109107.956169605,108603.030014293,107889.547403526,104969.757027156,103268.375416865,103147.632205812,103301.305383516,104870.967127203,104146.507860886,103883.06812768,104267.251071939,104453.854216293,103520.838494521,104947.803716055,105430.776560267,104706.31729395,106451.605526441,107527.317770367,106627.232015245,108350.566936636,108657.913292044,108460.333492139,109283.582658409,110051.948546927,110787.384468795,111259.380657456,110523.944735588,110194.645069081,109744.60219152,109766.55550262,111500.867079562,113257.131967604,113860.848022868,115200,115500,116100,116800,117100,117400,117900,118900,119800,120600,121100,121800,123500,125600,127600,129700,130600,130700,131300,132000,131600,131000,130800,130900,131500,132800,134300,135200,135200,135200,135200,135800,139300,142300,143800,145100,146300,147200,147400,147700,148400,149100,149700,150600,150700,151300,152100,152200,149800,147300,145900,145100,144700,143600,143600,143900,144200,143400,142500,141400,140400,139800,138600,137900,138100,138900,139400,140100,141100,143300,145400,147000,148700,150800,153500,156000,159300,164800,169100,173400,177700,183100,189700,195400,200900,206000,210900,215900,225400,230300,233900,240200
394974,"Philadelphia, PA",5,41948.2022687945,42739.876946741,43679.3308979042,44671.5631609306,46656.0276869833,47363.2570659489,48746.0488367622,49812.1707363968,51163.2955200923,51205.5181695828,52377.1966929437,50593.2897519708,52757.200538358,52503.8646414151,51606.6333397424,52546.0872909056,54393.3282061142,54910.5556623726,56240.5691213228,57697.2505287445,57739.473178235,59270.044222265,60642.2803307056,61201.7304364545,62236.1853489714,63861.7573543549,65138.992501442,66585.1182464911,68200.134589502,70247.9330897904,73171.8515670063,76232.9936550663,79410.2480292252,82840.8383003269,87569.7750432609,90915.9200153816,93692.0592193809,97481.5420111517,100321.015189387,101724.918284945,102833.26283407,103793.828109979,106253.297442799,107034.416458373,107541.088252259,106876.081522784,106696.63526245,105862.737935012,106474.966352624,106854.970198039,106686.079600077,108174.427994616,108332.762930206,107857.758123438,108269.42895597,108860.546048837,108406.652566814,108955.54701019,108944.991347818,109441.107479331,109335.550855605,108216.650644107,106812.747548548,105862.737935012,105556.623726206,106781.08056143,108691.655450875,108733.878100365,109800,109600,109400,109500,110100,110300,110200,110600,111100,111400,112100,113300,114700,115900,116700,118000,119800,121400,122900,124700,127200,129500,131600,134100,137100,140700,144900,149900,154900,159900,165300,170700,176000,182400,189700,196600,203400,211000,219700,226700,231800,235500,237100,237100,237200,237000,235800,233600,230600,227500,224000,220900,218000,214100,212300,212100,212100,211200,207100,203000,199800,195800,192200,190100,188700,187500,187200,187100,187600,189900,192200,192900,193200,193400,194000,194700,195100,197100,198700,199600,201000,203300,206400,209100,212000,215800,219500,223700,226300,227600,229700,231800
394692,"Houston, TX",6,77391.6083916084,81686.2284382284,83101.3892773893,83956.3822843823,86599.9813519814,90187.020979021,89371.337995338,91415.4592074592,88231.3473193473,94275.2634032634,95945.9393939394,98628.8484848485,104397.594405594,105930.685314685,103798.116550117,105832.41025641,105881.547785548,106481.025641026,105606.377622378,105193.622377622,101675.375291375,101636.065268065,102343.645687646,99542.8065268065,96289.9020979021,94216.2983682984,92545.6223776224,90442.5361305361,91553.0442890443,92752,90953.5664335664,86727.7389277389,86531.1888111888,85047.2354312354,82334.8438228438,80153.1375291375,80477.4452214452,82816.3916083916,83592.7645687646,84123.4498834499,84948.9603729604,86914.4615384615,88752.2051282051,89282.8904428904,89852.8857808858,90874.9463869464,92083.7296037296,91906.8344988345,92791.31002331,93960.7832167832,94540.6060606061,95425.0815850816,97144.8951048951,96663.3473193473,98402.8158508159,98265.2307692308,98599.365967366,99080.9137529138,99867.1142191142,100446.937062937,100456.764568765,99975.2167832168,99876.9417249417,98461.7808857809,98275.0582750583,99926.0792540793,100358.48951049,100889.174825175,102402.610722611,101911.235431235,102137.268065268,102776.055944056,102579.505827506,104368.111888112,105400,107000,109300,111600,113600,115700,118900,121300,123000,124800,126800,127200,126900,126500,124900,123600,123400,123900,124400,125400,126600,127400,127900,128400,129000,129900,133000,135800,137700,139700,141100,142200,142400,142200,142700,143500,144900,146500,147400,148300,149200,149400,147200,144700,143200,142300,141500,140300,140400,140700,140600,140000,138600,136900,136100,135700,134300,133600,133800,134200,135300,135700,137100,138800,141200,143400,145000,147500,150400,154300,158100,164000,168800,171900,175300,178500,181300,184200,186400,188000,189100,191300,195700,199000,201200,204300
395209,"Washington, DC",7,65728.1358214698,66327.9819161216,69132.2624086187,70526.9045786841,72701.3466717968,74830.8003078107,77110.2154674875,77650.0769526741,79989.4767218161,80934.2343208927,78774.7883801462,81159.1766063871,84758.2531742978,82118.9303578299,82058.9457483648,82538.8226240862,82778.7610619469,84278.3762985764,84578.2993459023,85703.0107733744,86137.8991919969,88987.1681415929,89976.9141977684,90216.8526356291,91791.44863409,93171.0946517892,94970.6329357445,96020.3636013852,97295.0365525202,99694.4209311274,102483.705271258,105078.039630627,107927.308580223,111901.288957291,117359.888418623,120898.980377068,125997.672181608,131081.367833782,136075.086571758,139809.128510966,143978.058868796,147772.085417468,150726.327433628,152150.961908426,152945.75798384,153515.611773759,152840.784917276,150801.30819546,151686.081185071,152330.915736822,151431.146594844,153815.534821085,154100.461716045,153140.707964602,154055.473258946,154415.380915737,154040.477106579,154220.430934975,154280.41554444,154940.246248557,155150.192381685,153425.634859561,152210.946517892,150486.388995768,149961.523662947,151581.108118507,153410.638707195,154190.438630242,155900,155300,154700,155100,156100,156300,156100,156300,157400,158100,158900,160400,162900,164800,167200,170600,174500,178100,182200,187600,193400,199400,206400,214600,223400,232700,242500,252800,262300,272500,283100,294000,306800,325500,348500,370500,391200,411000,425200,432200,435200,433800,428200,423000,419900,414500,404300,391600,378300,363700,351600,342800,334500,323100,318900,319800,320300,318900,317100,314500,311400,311300,311300,309200,310100,315900,319900,324600,329400,337400,345000,349500,353300,355300,355500,356600,359200,361000,362500,364500,366000,370800,373200,377700,381100,383900,387000,390300,397400,399100,401100,404100
394856,"Miami-Fort Lauderdale, FL",8,48883.249692264,50159.2462834959,50689.4138812612,52881.9714042231,54670.1638102452,56458.3562162674,59953.8680049238,62622.6777767257,62245.2703342486,64617.5456869615,61382.624751444,64123.3216551463,65614.9796420793,66046.3024334817,65192.6427421646,66846.0467758735,68283.7894138813,67717.6782501657,67493.030962977,67555.9322033898,67358.2425906638,67385.2002651264,66971.8492566992,67573.9039863649,67439.1156140517,67178.5247609128,66765.1737524856,67439.1156140517,68122.0433671054,70179.812517754,70611.1353091563,70880.7120537828,70593.1635261812,72489.186630054,72983.4106618691,74214.4777956633,74960.3067891298,76487.9083420131,77341.5680333302,78231.1712905975,78869.1695862134,79659.9280371177,80693.3055581858,81196.5154814885,81996.2598238803,81421.1627686772,81789.5843196667,81304.3461793391,82463.5261812328,82400.62494082,82140.0340876811,83559.8049427138,84665.0695956822,83982.1418426285,85222.1948679102,85410.8985891488,85554.6728529495,86893.5706845943,88025.7930120254,88951.3398352429,89580.3522393713,89526.436890446,89688.1829372219,89517.4509989584,89858.9148754853,91116.9396837421,92968.0333301771,93695.8905406685,94900,95100,95000,95400,96300,96700,97400,98700,99900,100200,100700,102000,103600,104900,106300,108000,110200,112500,115000,118200,123000,129300,135900,141300,145100,147500,150000,153600,159000,164800,171000,177800,185300,194800,207300,222500,239400,258200,275700,288300,298600,308400,311600,309700,305200,297700,287000,272800,255400,237300,219000,200400,182900,164900,155400,152000,151000,146600,142500,140200,137500,138000,137200,136900,137800,140000,142100,144200,149100,155900,162300,168000,172500,178900,185900,190500,196500,203500,209800,215700,221600,228400,234800,243800,249200,253500,257900,261900,268900,274400,278600,282700
394347,"Atlanta, GA",9,46586.7056935134,48020.2908129544,49453.8759323954,51647.5498064394,53889.3305636861,53956.68020017,55399.8866962515,55977.1692946842,57497.3468038901,58420.9989613823,58719.2616372392,60855.2072514399,61663.4028892456,62635.1619299405,62356.1420073647,63299.0369181381,63731.9988669625,64501.708998206,65829.4589746011,66050.7506373336,67869.1908223964,69062.2415258238,68754.3574733264,70515.0693985459,71910.1690114248,70745.982437919,73940.2794825795,75152.5729392881,76720.8573316967,77836.9370219998,78597.0257766028,80020.9895194033,81367.9822490794,82503.3046926636,83475.0637333585,83936.8898121046,85129.9405155321,86448.0691152866,86573.1470116136,86313.3698423189,86900.2738173921,87044.5944670003,88333.8589368332,88978.4911717496,88516.6650930035,87602.6343121518,88045.2176376168,87439.0709092626,88353.1016901142,88574.3933528468,88170.2955339439,89440.3172504957,90046.46397885,89825.1723161175,91653.2338778208,91787.9331507884,91999.6034368804,92923.2555943726,93548.6450760079,94260.6269474082,94481.9186101407,94732.0744027948,95242.0073647437,95482.5417807572,96213.7664054386,97945.6142007365,99225.2572939288,100755.056179775,101900,103900,106300,108200,109700,111400,113800,115900,117600,119300,121600,124200,126600,128900,131400,134100,136800,139300,141900,144600,146900,148800,150500,152300,154400,157000,159200,160700,161600,162300,162400,163100,165200,166600,167600,169100,170300,171900,174000,176300,178200,180100,182200,183400,184100,184500,184000,181700,178000,174400,169600,165000,160300,154800,150900,149100,147800,143600,139900,135300,131000,126800,122700,118600,116700,117300,118200,120800,123900,128500,133300,138100,142400,146500,149700,152200,154000,156600,159400,161300,164200,168800,173300,177100,180800,183700,187100,191400,199300,204600,209600,216600
394404,"Boston, MA",10,45735.8676122931,47306.1371158392,47999.3191489362,50121.304964539,50121.304964539,52158.4113475177,54124.7848699764,55086.7517730496,57307.7635933806,60207.8108747045,61495.1489361702,61381.9763593381,62711.7541371158,62329.7966903073,63716.1607565012,64239.5839243499,65682.5342789598,68780.6335697399,72303.1300236407,75514.401891253,78753.9669030733,83379.8959810875,89279.0165484634,92221.5035460993,97300.1229314421,104840.245862884,111630.600472813,119156.576832151,124362.51536643,129851.38534279,135863.678486998,142102.31678487,146402.874704492,149529.26713948,153108.349881797,154310.808510638,155414.241134752,157748.425531915,157168.41607565,157677.692671395,156362.061465721,155329.361702128,157606.959810875,157805.011820331,155782.052009456,151099.536643026,148270.222222222,144691.139479905,142781.352245863,141069.617021277,139782.278959811,140701.806146572,140447.1678487,138975.924349882,139881.304964539,140178.382978723,139612.520094563,140475.460992908,141126.203309693,142031.58392435,142498.420803783,141522.307328605,141550.600472813,140433.021276596,141465.721040189,144111.130023641,146501.90070922,147548.747044917,149600,151200,153000,154800,157200,159800,162800,166800,171600,175400,178800,182600,188200,194600,201700,210100,220100,230600,241100,250300,258300,266100,274900,283400,290500,297800,306500,316200,324700,331700,337400,343200,350100,358100,366500,374500,381700,386100,386400,384000,379800,374900,368700,363400,361600,358900,354700,348600,342200,334700,329100,325900,323500,316800,316600,318500,320800,322200,320900,317200,310900,310000,308000,306900,306300,310000,312900,317000,321800,330200,337600,343200,347800,352900,356300,360400,366000,370100,375800,380600,386200,392400,400800,409200,420300,427200,432100,437500,447100,452600,457400,463600
395057,"San Francisco, CA",11,82769.2800788954,87140.9763313609,93090.0887573964,97777.2682445759,103072.879684418,107084.023668639,110193.786982249,112695.118343195,114407.741617357,116413.313609467,118418.885601578,119230.128205128,115782.347140039,116728.796844181,119117.455621302,116097.830374753,120086.439842209,120627.268244576,121415.976331361,122339.891518738,123399.013806706,124728.550295858,126666.518737673,128649.556213018,130925.542406312,132638.165680473,136469.033530572,138835.157790927,140615.384615385,143973.027613412,148344.723865878,152446.00591716,156547.287968442,160648.570019724,166462.475345168,171014.447731755,177481.854043392,185098.520710059,193120.808678501,202990.927021696,212117.406311637,224871.942800789,239339.102564103,245693.836291913,248916.272189349,249006.41025641,249389.49704142,245829.043392505,242967.159763314,241254.536489152,241660.157790927,243553.057199211,241682.692307692,240308.08678501,240848.915187377,239654.585798817,236792.702169625,235868.786982249,235080.078895463,234584.319526627,232916.765285996,229942.209072978,227869.033530572,224917.01183432,225345.16765286,227283.136094675,228252.120315582,227846.499013807,228500,228100,228600,231600,236200,240600,246600,254700,263000,270200,277100,283800,291700,302900,319000,340200,364500,388200,407500,422700,434000,439400,439600,437700,439600,449300,462900,475000,484700,492600,502400,518600,541900,569200,599100,630200,660600,687100,701700,705100,702800,698700,694500,695200,693600,684800,670000,646800,620200,592200,571700,556800,541700,521700,517300,524900,529100,532600,524200,507700,492600,479900,475300,471800,474500,488800,507300,532100,561900,605000,633000,648000,661200,670200,682000,701800,727200,757300,775900,786700,799000,806600,815800,832900,849400,862900,875800,899600,931800,945400,959000,962300
394532,"Detroit, MI",12,43922.9158947758,46137.662097073,47530.5298258614,48213.9866617266,48196.6839570211,47928.4920340867,48741.7191552427,48707.1137458318,47461.3190070396,49442.4786958133,50809.3923675435,50766.1356057799,50350.8706928492,48231.289366432,47046.0540941089,41578.3994071879,45791.6080029641,45653.1863653205,45558.0214894405,44762.09707299,45886.772878844,45670.4890700259,45990.5891070767,45878.1215264913,46994.1459799926,47677.6028158577,48464.8758799555,49252.1489440534,49892.3490181549,51639.922193405,53621.0818821786,55057.2063727306,56770.1741385698,58984.920340867,60369.1367173027,61588.9773990367,62237.8288254909,64080.566876621,65092.7751018896,65620.5075954057,66580.807706558,67930.4186735828,69677.9918488329,69876.9729529455,70906.4838829196,72091.7191552427,72524.2867728788,72567.5435346425,73519.192293442,74522.7491663579,75041.8303075213,76201.1115227862,76772.100778066,77152.7602815858,77810.2630603927,78355.2982586143,78744.6091144869,79367.5064838829,80085.5687291589,80743.0715079659,81590.9040385328,82663.6717302705,84091.1448684698,85137.9585031493,86513.5235272323,88408.1696924787,90337.421267136,91929.2701000371,93400,95200,97000,98900,101200,104100,107300,110600,113700,115600,117300,119300,121200,123200,125400,127600,130000,132500,134800,136800,138800,140500,141900,143100,144000,144900,145900,147100,148500,149900,151200,152600,153500,154500,156000,157300,158300,159000,159200,158900,158100,156600,154400,151700,148400,145200,141200,136200,130600,124400,117500,110800,104300,97300,91000,87300,86400,84500,82900,80500,77700,75500,74400,74000,74200,76700,78400,81300,84300,88000,93600,98400,101800,106500,110500,113200,115900,117800,120100,123100,125400,128300,131800,134600,138100,141600,144200,146300,150600,154600,157200,159400
395025,"Riverside, CA",13,63894.1176470588,66870.5882352941,70270.5882352941,72188.2352941177,73752.9411764706,74835.2941176471,77211.7647058823,77611.7647058823,78905.8823529412,82435.294117647,84235.294117647,86776.4705882353,84882.3529411765,84505.8823529412,88023.5294117647,87882.3529411765,83705.8823529412,82752.9411764706,84800,80611.7647058823,85294.1176470588,84941.1764705882,86376.4705882353,86482.3529411765,87164.705882353,88117.6470588235,90188.2352941177,89600,91200,92423.5294117647,94035.2941176471,95282.3529411765,97082.3529411765,98964.705882353,99717.6470588235,100952.941176471,103329.411764706,106223.529411765,109682.352941176,114611.764705882,119647.058823529,126011.764705882,133741.176470588,139376.470588235,142564.705882353,143670.588235294,144552.941176471,144635.294117647,144870.588235294,144058.823529412,143411.764705882,144694.117647059,144247.058823529,142529.411764706,141741.176470588,140376.470588235,138141.176470588,136729.411764706,134835.294117647,133941.176470588,132000,125764.705882353,122188.235294118,119423.529411765,117647.058823529,118364.705882353,121117.647058824,121047.058823529,121600,120100,118800,118500,119200,119900,120700,122400,124500,126300,127900,129900,132800,135100,137400,140400,143900,147400,150600,154400,158800,163300,168000,173300,178900,184400,190800,198300,206300,217700,231700,247800,265900,288200,311600,331200,349300,366900,380700,391600,401000,408900,408200,401200,391900,379200,359300,337600,312200,282400,259900,240900,223200,206300,201400,201500,201800,203100,200500,197300,196600,192900,188800,186300,187800,191400,196100,205100,214400,230100,244200,253100,261100,268000,272600,277600,281300,286800,292100,296900,301600,308500,313900,320200,325200,332700,340300,344800,351400,357900,363600,365400
394976,"Phoenix, AZ",14,56999.2714365776,58875.910704278,62551.4010835046,64593.3401830749,63825.1821408556,64846.1516906408,68696.6654212591,69153.670838782,71691.5094339623,72041.5561367457,76650.5043900616,72790.2671399215,70310.7696618718,73470.913506445,71195.6099383523,74618.2888100131,77943.7324864562,79110.5548290678,75668.4289183635,75279.488137493,77019.9981318886,81512.2641509434,82465.1690640762,80394.0594059406,82912.4509620773,83933.4205118625,84497.3846441248,85080.7958154306,87006.0526807398,89611.9559125724,89786.9792639641,88406.2394918737,91089.9308798804,90205.0906033999,89806.4263030077,88124.2574257426,89709.19110779,89942.5555763123,88513.1982066131,88941.0330655707,87647.8049691762,87297.7582663927,88192.3220623949,87725.5931253503,86753.2411731739,85780.8892209976,85197.4780496918,83972.3145899496,85421.1189986923,85868.4008966934,85498.9071548664,88182.5985428732,88454.8570894825,88143.7044647861,88931.3095460489,89388.3149635718,89106.3328974407,90127.3024472258,90623.2019428358,91741.4066878386,92635.9704838408,93443.0226041472,94755.6977395853,96311.4608630674,97235.195217635,98897.9170558565,100969.026713992,102077.507939473,104100,106100,107900,109600,111200,112600,114400,116700,118900,120300,121900,123600,125200,126800,128600,130400,132500,133900,135000,136900,138900,140400,141600,143400,145500,147000,148800,151300,153300,155000,156800,158900,162100,167600,176800,190100,208100,232400,258200,274500,282100,283400,277300,270100,264600,258800,250000,237700,223100,210100,198900,187600,175800,164200,156900,153700,152500,148500,141900,137300,135000,130600,128500,131500,135900,144800,153000,159200,165900,173500,181500,185200,187500,190000,191900,194400,196900,201500,207300,211400,215500,220300,224700,229200,232000,236600,241000,244600,250300,254700,258800,263200
395078,"Seattle, WA",15,60869.0879353473,64143.0729266885,65750.0288628055,68393.2461035213,69910.0923609775,69609.7267654416,72102.7612083894,71832.4321724071,67777.4966326727,73229.132191649,73199.0956320954,74430.5945737926,74640.8504906677,73319.2418703098,68333.1729844141,74505.6859726765,75226.5634019627,75031.3257648643,75151.4720030787,75406.7827592842,76743.4096594189,77103.848374062,77884.7989224553,78635.712911295,79221.42582259,79476.7365787955,80002.3763709833,80558.0527227246,81369.0398306715,81669.4054262074,82450.3559746007,83396.5076005388,84643.0248220127,85183.6828939773,86189.9076390225,87226.1689436213,88848.1431595151,90545.2087742929,92302.3475081778,93999.4131229555,97618.818549163,102274.485279969,107545.901481624,114679.584375601,124411.429670964,133137.050221282,135780.267461997,135404.810467577,136771.473927266,137552.424475659,137882.826630749,139880.257841062,140180.623436598,140976.592264768,142388.310563787,143244.352511064,143304.425630171,144280.613815663,145467.05791803,146533.355782182,147915.037521647,149221.627862228,149176.573022898,149191.591302675,150182.797767943,151939.936501828,153652.020396383,154748.354820089,156100,155300,155900,157900,160700,163800,167000,170400,173800,177700,182400,186600,189600,192800,196600,201000,205400,209400,212500,215700,219300,221800,223700,226100,228600,229900,231700,234400,238000,242100,245700,250000,255100,262000,270600,280300,290900,303600,318000,331700,344400,357500,368100,374100,378400,381400,379000,372100,363900,354500,343200,333900,323400,310300,303700,302300,300800,293600,285200,277200,270200,263700,258600,255800,255000,258000,264100,269100,276900,289200,298400,303900,308000,314100,321000,328000,334200,343900,354100,363700,374400,387300,401200,413900,429000,444600,453400,465200,479900,487700,485800,488400
